ndc,drug_name,generic_name,drug_class,strength,form,is_opioid,is_controlled_substance,dea_schedule,is_generic,awp_unit_price
10001-7912-14,Lipitor,atorvastatin,Statin,10mg,tablet,False,False,,True,39.51
10001-4811-74,Lipitor,atorvastatin,Statin,20mg,tablet,False,False,,False,38.61
10001-4257-93,Lipitor,atorvastatin,Statin,40mg,tablet,False,False,,False,45.61
10001-4611-67,Lipitor,atorvastatin,Statin,80mg,tablet,False,False,,False,42.01
10002-1106-30,Crestor,rosuvastatin,Statin,5mg,tablet,False,False,,False,58.61
10002-5552-29,Crestor,rosuvastatin,Statin,10mg,tablet,False,False,,True,68.23
10002-6514-23,Crestor,rosuvastatin,Statin,20mg,tablet,False,False,,True,57.84
10003-6881-54,Metformin,metformin HCl,Antidiabetic,500mg,tablet,False,False,,False,11.15
10003-1711-68,Metformin,metformin HCl,Antidiabetic,850mg,tablet,False,False,,False,10.65
10003-7201-20,Metformin,metformin HCl,Antidiabetic,1000mg,tablet,False,False,,False,11.26
10004-6925-83,Jardiance,empagliflozin,Antidiabetic,10mg,tablet,False,False,,True,583.75
10004-1750-94,Jardiance,empagliflozin,Antidiabetic,25mg,tablet,False,False,,True,595.06
10005-2307-39,Ozempic,semaglutide,Antidiabetic/GLP-1,0.25mg,injection,False,False,,True,915.84
10005-8428-91,Ozempic,semaglutide,Antidiabetic/GLP-1,0.5mg,injection,False,False,,True,853.86
10005-6820-36,Ozempic,semaglutide,Antidiabetic/GLP-1,1mg,injection,False,False,,False,883.59
10006-2169-87,Lisinopril,lisinopril,ACE Inhibitor,5mg,tablet,False,False,,False,9.01
10006-5010-30,Lisinopril,lisinopril,ACE Inhibitor,10mg,tablet,False,False,,True,9.64
10006-4598-97,Lisinopril,lisinopril,ACE Inhibitor,20mg,tablet,False,False,,True,11.03
10006-1916-39,Lisinopril,lisinopril,ACE Inhibitor,40mg,tablet,False,False,,True,10.92
10007-7572-44,Amlodipine,amlodipine besylate,Calcium Channel Blocker,2.5mg,tablet,False,False,,True,8.22
10007-6155-37,Amlodipine,amlodipine besylate,Calcium Channel Blocker,5mg,tablet,False,False,,False,9.0
